code,Name
S28000367,Bishopbriggs North and Torrance
S28000367,Springburn
S28000361,Springburn
S28000441,Springburn
S28000366,Springburn
S28000365,Springburn
S28000374,Springburn
S28000362,Springburn
S28000390,Springburn
S28000364,Springburn
S28000363,Springburn
S28000440,Springburn
S28000367,Maryhill / Kelvin
S28000368,Maryhill / Kelvin
S28000356,Maryhill / Kelvin
S28000435,Maryhill / Kelvin
S28000432,Maryhill / Kelvin
S28000431,Maryhill / Kelvin
S28000360,Maryhill / Kelvin
S28000359,Maryhill / Kelvin
S28000357,Maryhill / Kelvin
S28000342,Maryhill / Kelvin
S28000344,Maryhill / Kelvin
S28000345,Maryhill / Kelvin
S28000367,Canal
S28000361,Canal
S28000441,Canal
S28000368,Canal
S28000366,Canal
S28000356,Canal
S28000360,Canal
S28000359,Canal
S28000358,Canal
S28000357,Canal
S28000365,Canal
S28000342,Canal
S28000343,Canal
S28000391,Canal
S28000390,Canal
S28000361,Anderston / City
S28000343,Anderston / City
S28000391,Anderston / City
S28000340,Anderston / City
S28000369,Anderston / City
S28000370,Anderston / City
S28000371,Anderston / City
S28000374,Anderston / City
S28000362,Anderston / City
S28000393,Anderston / City
S28000390,Anderston / City
S28000338,Anderston / City
S28000336,Anderston / City
S28000337,Anderston / City
S28000373,Anderston / City
S28000355,Anderston / City
S28000354,Anderston / City
S28000361,Bishopbriggs South
S28000382,Bishopbriggs South
S28000440,Bishopbriggs South
S28000385,East Centre
S28000384,East Centre
S28000383,East Centre
S28000378,East Centre
S28000374,East Centre
S28000382,East Centre
S28000362,East Centre
S28000379,East Centre
S28000375,East Centre
S28000372,East Centre
S28000393,East Centre
S28000390,East Centre
S28000373,East Centre
S28000361,North East
S28000385,North East
S28000386,North East
S28000384,North East
S28000383,North East
S28000388,North East
S28000382,North East
S28000362,North East
S28000461,North East
S28000389,North East
S28000463,North East
S28000464,North East
S28000387,North East
S28000364,North East
S28000363,North East
S28000440,North East
S28000356,Drumchapel / Anniesland
S28000431,Drumchapel / Anniesland
S28000342,Drumchapel / Anniesland
S28000345,Drumchapel / Anniesland
S28000347,Drumchapel / Anniesland
S28000346,Drumchapel / Anniesland
S28000348,Drumchapel / Anniesland
S28000498,Drumchapel / Anniesland
S28000351,Drumchapel / Anniesland
S28000352,Drumchapel / Anniesland
S28000353,Drumchapel / Anniesland
S28000501,Drumchapel / Anniesland
S28000434,Drumchapel / Anniesland
S28000436,Drumchapel / Anniesland
S28000356,Bearsden South
S28000346,Bearsden South
S28000351,Bearsden South
S28000352,Bearsden South
S28000434,Bearsden South
S28000359,Hillhead
S28000358,Hillhead
S28000357,Hillhead
S28000365,Hillhead
S28000342,Hillhead
S28000344,Hillhead
S28000343,Hillhead
S28000339,Hillhead
S28000391,Hillhead
S28000340,Hillhead
S28000369,Hillhead
S28000370,Hillhead
S28000341,Hillhead
S28000342,Partick West
S28000344,Partick West
S28000343,Partick West
S28000339,Partick West
S28000340,Partick West
S28000369,Partick West
S28000371,Partick West
S28000341,Partick West
S28000345,Partick West
S28000350,Partick West
S28000349,Partick West
S28000347,Partick West
S28000346,Partick West
S28000422,Govan
S28000791,Govan
S28000423,Govan
S28000400,Govan
S28000396,Govan
S28000418,Govan
S28000417,Govan
S28000419,Govan
S28000420,Govan
S28000421,Govan
S28000424,Govan
S28000345,Garscadden / Scotstounhill
S28000350,Garscadden / Scotstounhill
S28000349,Garscadden / Scotstounhill
S28000347,Garscadden / Scotstounhill
S28000346,Garscadden / Scotstounhill
S28000348,Garscadden / Scotstounhill
S28000497,Garscadden / Scotstounhill
S28000498,Garscadden / Scotstounhill
S28000351,Garscadden / Scotstounhill
S28000349,Clydebank Waterfront
S28000422,Craigton
S28000791,Craigton
S28000427,Craigton
S28000429,Craigton
S28000405,Craigton
S28000423,Craigton
S28000399,Craigton
S28000400,Craigton
S28000424,Craigton
S28000425,Craigton
S28000747,Craigton
S28000769,Craigton
S28000426,Craigton
S28000747,Paisley East & Ralston
S28000426,Paisley East & Ralston
S28000427,Greater Pollok
S28000428,Greater Pollok
S28000429,Greater Pollok
S28000405,Greater Pollok
S28000423,Greater Pollok
S28000415,Greater Pollok
S28000494,Greater Pollok
S28000495,Greater Pollok
S28000425,Greater Pollok
S28000769,Greater Pollok
S28000427,Newlands / Auldburn
S28000428,Newlands / Auldburn
S28000429,Newlands / Auldburn
S28000405,Newlands / Auldburn
S28000423,Newlands / Auldburn
S28000415,Newlands / Auldburn
S28000414,Newlands / Auldburn
S28000399,Newlands / Auldburn
S28000398,Newlands / Auldburn
S28000409,Newlands / Auldburn
S28000404,Newlands / Auldburn
S28000406,Newlands / Auldburn
S28000408,Newlands / Auldburn
S28000413,Newlands / Auldburn
S28000429,"Neilston, Uplawmoor and Newton Mearns North"
S28000415,"Neilston, Uplawmoor and Newton Mearns North"
S28000429,Barrhead
S28000494,Barrhead
S28000425,Paisley South West
S28000405,Giffnock and Thornliebank
S28000415,Giffnock and Thornliebank
S28000414,Giffnock and Thornliebank
S28000406,Giffnock and Thornliebank
S28000408,Giffnock and Thornliebank
S28000413,Giffnock and Thornliebank
S28000405,Pollokshields
S28000423,Pollokshields
S28000399,Pollokshields
S28000400,Pollokshields
S28000396,Pollokshields
S28000397,Pollokshields
S28000402,Pollokshields
S28000418,Pollokshields
S28000417,Pollokshields
S28000398,Pollokshields
S28000406,Pollokshields
S28000405,Langside
S28000397,Langside
S28000403,Langside
S28000401,Langside
S28000410,Langside
S28000398,Langside
S28000409,Langside
S28000404,Langside
S28000406,Langside
S28000476,Langside
S28000411,"Netherlee, Stamperland and Williamwood"
S28000408,"Netherlee, Stamperland and Williamwood"
S28000407,"Netherlee, Stamperland and Williamwood"
S28000396,Southside Central
S28000397,Southside Central
S28000402,Southside Central
S28000418,Southside Central
S28000417,Southside Central
S28000403,Southside Central
S28000401,Southside Central
S28000416,Southside Central
S28000398,Southside Central
S28000409,Southside Central
S28000404,Southside Central
S28000401,Rutherglen Central and North
S28000410,Rutherglen Central and North
S28000380,Rutherglen Central and North
S28000416,Rutherglen Central and North
S28000409,Rutherglen Central and North
S28000476,Rutherglen Central and North
S28000411,"Busby, Clarkston and Eaglesham"
S28000491,"Busby, Clarkston and Eaglesham"
S28000490,"Busby, Clarkston and Eaglesham"
S28000411,East Kilbride West
S28000484,East Kilbride West
S28000491,East Kilbride West
S28000411,Linn
S28000410,Linn
S28000412,Linn
S28000478,Linn
S28000484,Linn
S28000409,Linn
S28000406,Linn
S28000408,Linn
S28000476,Linn
S28000407,Linn
S28000491,Linn
S28000490,Linn
S28000411,Rutherglen South
S28000410,Rutherglen South
S28000377,Baillieston
S28000385,Baillieston
S28000386,Baillieston
S28000384,Baillieston
S28000388,Baillieston
S28000378,Baillieston
S28000379,Baillieston
S28000380,Baillieston
S28000461,Baillieston
S28000389,Baillieston
S28000381,Baillieston
S28000462,Baillieston
S28000468,Baillieston
S28000469,Baillieston
S28000467,Baillieston
S28000466,Baillieston
S28000377,Shettleston
S28000385,Shettleston
S28000378,Shettleston
S28000374,Shettleston
S28000379,Shettleston
S28000380,Shettleston
S28000376,Shettleston
S28000375,Shettleston
S28000372,Shettleston
S28000381,Shettleston
S28000472,Shettleston
S28000468,Shettleston
S28000388,Coatbridge West
S28000462,Coatbridge West
S28000463,Coatbridge West
S28000388,Strathkelvin
S28000382,Strathkelvin
S28000378,Calton
S28000374,Calton
S28000380,Calton
S28000376,Calton
S28000375,Calton
S28000372,Calton
S28000394,Calton
S28000395,Calton
S28000393,Calton
S28000392,Calton
S28000390,Calton
S28000338,Calton
S28000336,Calton
S28000373,Calton
S28000355,Calton
S28000380,Cambuslang East
S28000468,Cambuslang East
S28000380,Cambuslang West
S28000462,Thorniewood
S28000468,Thorniewood
S28000493,
S28000475,
