Età,Maschi.celibi,Maschi.coniugati,Maschi.divorziati,Maschi.vedovi,Femmine.nubili,Femmine.coniugate,Femmine.divorziate,Femmine.vedove
0,346,0,0,0,288,0,0,0
1,350,0,0,0,326,0,0,0
2,349,0,0,0,360,0,0,0
3,353,0,0,0,353,0,0,0
4,366,0,0,0,362,0,0,0
5,405,0,0,0,346,0,0,0
6,410,0,0,0,437,0,0,0
7,424,0,0,0,385,0,0,0
8,441,0,0,0,397,0,0,0
9,402,0,0,0,384,0,0,0
10,406,0,0,0,409,0,0,0
11,423,0,0,0,385,0,0,0
12,374,0,0,0,394,0,0,0
13,422,0,0,0,377,0,0,0
14,418,0,0,0,425,0,0,0
15,432,0,0,0,418,0,0,0
16,435,0,0,0,392,0,0,0
17,434,0,0,1,414,0,0,0
18,426,0,0,0,402,1,0,0
19,441,0,0,0,385,0,0,0
20,434,1,0,0,356,0,0,0
21,470,0,0,0,394,2,0,0
22,402,3,0,0,408,4,0,0
23,482,3,0,0,377,2,0,0
24,468,2,0,0,470,8,0,1
25,530,1,0,0,454,19,0,0
26,507,11,0,0,449,30,0,0
27,517,24,0,0,436,45,1,0
28,459,36,0,0,417,66,0,0
29,486,36,0,0,379,78,1,0
30,453,61,0,0,396,127,0,0
31,437,80,0,0,341,162,1,0
32,390,116,1,0,319,184,4,0
33,440,131,5,0,382,205,11,0
34,442,174,2,0,354,236,9,0
35,369,195,3,0,361,228,7,0
36,391,226,7,0,328,286,10,2
37,360,208,7,0,289,317,13,1
38,358,255,10,0,301,326,18,3
39,329,279,12,2,278,363,22,3
40,344,302,14,1,319,407,26,7
41,348,323,15,1,247,441,21,4
42,340,392,13,1,278,431,36,6
43,311,435,21,1,242,491,32,2
44,269,421,19,2,286,514,42,2
45,244,469,32,1,243,513,44,11
46,246,414,26,0,200,488,52,8
47,225,472,26,4,190,479,42,9
48,214,448,38,3,183,590,56,14
49,207,490,23,3,199,598,47,15
50,168,487,32,2,177,569,54,15
51,182,517,39,6,144,580,48,8
52,178,546,34,3,172,587,63,23
53,143,537,39,7,154,535,73,18
54,145,539,60,6,142,567,69,27
55,114,520,47,6,134,489,59,26
56,92,523,48,6,125,574,48,33
57,97,486,34,7,108,524,54,33
58,94,455,36,7,115,497,65,26
59,62,470,35,7,81,460,58,37
60,61,440,26,11,100,450,51,42
61,47,469,41,11,67,508,57,54
62,46,497,33,12,75,470,50,60
63,48,449,34,13,88,484,58,52
64,36,456,28,14,86,450,34,57
65,42,449,29,25,59,433,55,69
66,26,397,25,12,81,443,39,67
67,29,409,22,16,64,424,44,82
68,29,473,27,18,79,441,44,114
69,29,427,17,19,80,441,32,126
70,24,497,17,30,57,461,38,129
71,25,496,17,31,69,441,25,139
72,21,448,8,31,71,390,37,147
73,10,415,9,21,60,341,38,147
74,17,344,12,36,52,300,26,137
75,13,340,9,31,59,341,19,161
76,18,352,15,34,59,261,19,178
77,12,307,9,41,67,265,25,198
78,16,330,11,34,61,248,19,225
79,15,312,11,53,80,237,18,228
80,8,311,10,39,49,212,14,237
81,11,243,3,41,51,175,8,212
82,7,191,4,41,46,134,9,207
83,7,211,7,32,44,114,19,222
84,10,191,3,53,49,113,6,221
85,7,161,0,33,29,94,3,232
86,7,135,3,45,39,60,11,200
87,5,116,1,34,23,44,5,184
88,10,110,0,39,29,44,5,244
89,5,62,5,38,23,19,4,179
90,2,49,1,41,24,12,4,165
91,1,38,1,23,19,17,2,127
92,2,22,0,31,24,13,2,119
93,1,23,0,18,8,4,1,87
94,0,18,0,17,7,6,1,63
95,1,8,0,9,14,1,0,59
96,0,6,0,7,7,2,0,46
97,1,3,0,9,3,0,0,28
98,0,2,0,5,7,1,1,21
99,1,1,0,2,2,0,0,15
100,0,2,0,3,5,1,0,18
