"Età","Maschi.celibi","Maschi.coniugati","Maschi.divorziati","Maschi.vedovi","Femmine.nubili","Femmine.coniugate","Femmine.divorziate","Femmine.vedove"
"0",58,0,0,0,47,0,0,0
"1",33,0,0,0,47,0,0,0
"2",51,0,0,0,49,0,0,0
"3",42,0,0,0,45,0,0,0
"4",59,0,0,0,66,0,0,0
"5",54,0,0,0,57,0,0,0
"6",69,0,0,0,60,0,0,0
"7",63,0,0,0,53,0,0,0
"8",61,0,0,0,59,0,0,0
"9",71,0,0,0,68,0,0,0
"10",60,0,0,0,61,0,0,0
"11",86,0,0,0,63,0,0,0
"12",63,0,0,0,65,0,0,0
"13",74,0,0,0,64,0,0,0
"14",68,0,0,0,64,0,0,0
"15",57,0,0,0,56,0,0,0
"16",53,0,0,0,69,0,0,0
"17",48,0,0,0,55,0,0,0
"18",53,0,0,0,57,0,0,0
"19",73,0,0,0,42,0,0,0
"20",61,0,0,0,57,1,0,0
"21",66,0,0,0,59,0,0,0
"22",59,0,0,0,57,2,1,0
"23",60,0,0,0,66,1,0,0
"24",59,1,0,0,58,3,0,0
"25",53,3,0,0,43,2,1,0
"26",56,3,0,0,60,1,0,0
"27",55,4,0,0,55,6,0,0
"28",70,6,0,0,57,7,0,0
"29",54,1,0,0,52,21,1,0
"30",48,16,0,0,46,28,0,0
"31",48,10,0,0,48,30,1,0
"32",49,23,0,0,41,34,2,0
"33",54,33,0,0,28,44,2,0
"34",41,26,2,0,41,37,3,0
"35",56,30,0,0,43,36,0,0
"36",41,32,0,0,36,46,1,1
"37",34,38,0,0,20,51,0,0
"38",46,40,1,0,21,59,2,0
"39",39,53,1,0,28,60,2,0
"40",29,53,2,0,25,63,3,1
"41",44,43,2,0,18,83,1,1
"42",33,73,2,0,32,80,5,1
"43",36,77,4,1,23,94,3,2
"44",33,91,6,1,20,90,1,0
"45",30,66,2,0,21,104,3,0
"46",16,85,4,0,17,80,7,0
"47",25,81,1,0,19,89,3,0
"48",20,82,2,0,20,76,2,1
"49",14,100,4,0,10,94,3,0
"50",20,76,3,1,11,69,8,1
"51",14,83,1,1,9,68,5,2
"52",12,73,5,2,9,81,7,2
"53",14,74,7,2,10,72,1,3
"54",15,70,3,2,8,78,3,2
"55",4,80,1,2,12,68,2,3
"56",6,70,1,1,12,68,3,6
"57",9,77,1,2,6,79,3,5
"58",6,75,1,2,9,56,3,5
"59",2,67,4,1,7,60,2,5
"60",5,59,2,0,6,63,1,3
"61",5,74,0,2,2,60,4,3
"62",2,66,0,1,6,61,4,8
"63",2,56,4,3,13,61,2,6
"64",4,57,1,2,4,53,1,8
"65",3,45,1,0,5,54,1,9
"66",3,54,2,1,8,49,0,10
"67",0,64,1,1,4,55,2,13
"68",1,55,1,2,1,47,2,10
"69",2,47,3,3,8,38,0,10
"70",3,55,1,1,4,46,0,16
"71",3,49,0,7,3,31,2,16
"72",0,45,0,6,3,44,1,15
"73",1,35,1,5,4,25,0,9
"74",1,36,1,2,6,22,0,23
"75",1,31,1,5,5,39,2,22
"76",1,26,0,2,3,27,0,14
"77",0,31,0,3,7,22,0,22
"78",1,36,1,5,2,25,0,16
"79",0,37,1,6,1,17,1,20
"80",0,27,0,5,4,23,1,16
"81",0,26,0,6,2,13,0,21
"82",0,16,1,6,1,13,1,18
"83",1,14,1,10,2,13,0,19
"84",0,20,1,7,4,7,0,16
"85",0,13,0,7,1,7,0,19
"86",2,19,0,3,5,5,0,20
"87",0,12,0,5,1,5,0,21
"88",1,9,0,6,2,6,0,13
"89",0,6,0,6,1,1,0,19
"90",0,3,0,4,0,1,0,14
"91",1,2,0,5,2,2,0,12
"92",0,2,0,4,1,3,0,10
"93",0,0,0,2,0,0,0,2
"94",0,1,0,2,0,2,0,2
"95",0,0,0,0,2,1,0,4
"96",0,1,0,0,0,0,0,2
"97",0,0,0,1,0,0,0,3
"98",0,0,0,1,0,0,0,0
"99",0,0,0,0,0,0,0,1
"100",0,0,0,0,0,0,0,0
